id,question,answer
45,스쿼시 경기에서 사용하는 공 중 가장 빠른 공에는 어떤 색깔의 점이 표시되어 있는가?,파란색
46,포켓볼 테이블(당구대)에서 공이 떨어지는 구멍을 무엇이라고 할까요?,포켓
47,사진 속 근력운동의 명칭은 무엇일까요?,푸시업
48,축구 경기의 전반과 후반 사이에 있는 휴식 시간을 무엇이라고 하나요?,하프타임
49,축구 경기에서 한 선수가 한 게임에서 3득점을 하는 것을 무엇이라고 할까요?,해트트릭
50,신체를 단련하거나 건강을 유지하기 위하여 각종 운동 기구를 갖추어 놓은 곳은?,헬스장
51,동계 올릭픽 종목인 컬링에서 쓰이는 컬링 스톤은 무엇으로 만들어질까?,화강암
52,다트 판의 중앙을 일컫는 이름은?,황소눈
53,미국의 프로농구협회를 부르는 약칭은?,NBA
54,아일랜드식 단체 경기를 고르면?,게일릭풋볼
55,트리플 크라운`이라는 용어는 원래 미국의 어느 스포츠 경기에서 유래하였을까요?,경마
56,마스터스 토너먼트`는 어느 스포츠 종목에서 4대 메이저 대회로 손꼽히는 대회일까요?,골프
57,매직 존슨`은 어떤 스포츠 분야에서 유명한 인물일까요?,농구
58,트랙과 필드에서 이루어지는 육상경기의 대표 종목은?,달리기
59,고무보트를 타고 계곡의 급류를 헤쳐나가는 레포츠의 이름은?,래프팅
60,다음중 줄·후프·공·곤봉·리본 등의 기구를 사용하는 스포츠는?,리듬체조
61,각 팀의 선수가 자기 팀의 다른 선수와 교체지역 안에서 배턴을 주고 받으며 달리는 경기는?,릴레이경기
62,태국의 전통 무술은?,무에타이
63,다음 중 `쿼터백`이라는 포지션이 있는 스포츠는?,미식축구
64,네트를 중앙에 두고 라켓으로 셔틀콕(깃털공)을 쳐서 네트를 넘기는 경기의 이름은?,배드민턴
65,탄력이 좋은 로프에 몸을 묶고 높은 곳에서 뛰어내리는 모험 스포츠의 이름은?,번지점프
66,다음 중 마우스피스를 반드시 착용해야 하는 스포츠는?,복싱
67,경기 전 몸무게를 재야하는 스포츠는?,복싱
68,"미국의 영화배우 겸 감독 클린트 이스트우드가 감독 주연 제작한 영화""밀리언달러베이비""의 이야기의 중심이 되는 스포츠는?",복싱
69,볼을 굴려 목표지점에 놓여있는 핀을 쓰러뜨리는 스포츠는?,볼링
70,지로 디탈리아`는 어떤 종목의 스포츠 대회일까요?,사이클
71,옴니엄(Omnium)이란 어떤 종목의 스포츠일까요?,사이클
72,볼더링`은 어떤 스포츠 경기의 세부 종목일까요?,스포츠클라이밍
73,"블루라인, 페이스오프, 아이싱은 모두 어떤 스포츠와 관련된 경기 규칙일까요?",아이스하키
74,필라델피아 플라이어스`는 어떤 종목의 프로 스포츠팀일까요?,아이스하키
75,음악에 맞추어 여러 명의 선수가 수면 위에서 동작을 연기하는 수중 경기 종목의 이름은?,아티스틱스위밍
76,베이브 루스`는 어느 스포츠 종목에서 가장 인기가 많았던 프로 선수였을까요?,야구
77,두 팀이 방망이와 공을 사용하여 겨루는 구기 종목은?,야구
78,"경쾌한 음악에 맞추어 갖가지 동작을 하면서심장, 폐의 기능을 활발하게 하여 산소를 많이 들이마시게 하는 춤은?",에어로빅
79,"인상, 용상은 어느 스포츠의 종목일까요?",역도
80,"다음 중 모터보트가 만들어 내는 파도를 이용해 점프, 회전 등의다양한 기술을 구사하는 수상 스포츠는 어느 것인가?",웨이크보드
81,"""포뮬러원""은 무엇일까요?",자동차경주대회
82,532년 비잔틴제국의 수도 콘스탄티노플에서 이 경기가 열린 경기장에서반란이 일어나 약 3만 명의 군중이 학살당했다. 어떤 경기였을까요?,전차경주
83,이소룡이 창시한 무술의 이름은 무엇일까요?,절권도
84,많은 사람이 두 편으로 나뉘어 줄을 마주 잡아당겨 승부를 겨루는 놀이는?,줄다리기
85,다음 중 `루이 로페즈`와 가장 관련이 깊은 게임은?,체스
86,"2002년 개봉된 영국 영화 ""슈팅라이크베컴""에서 이야기의 중심이 되는 스포츠는?",축구
87,브라질에서 가장 인기 있는 스포츠는 무엇일까요?,축구
88,미하엘 슈마허는 무엇으로 유명한 인물인가?,카레이싱
89,다음 중 숨을 멈춘 상태에서 경기를 해야하는 스포츠는?,카바디
90,해리포터에 등장하는 가상 스포츠의 이름은?,퀴디치
91,경기장 가운데 위치한 직사각형의 피치에서 공을 던지는 `볼러`와공을 치는 `배트맨`이 대결하는 방식으로 치러지는 스포츠는?,크리켓
92,인도에서 가장 인기 있는 스포츠는 무엇일까요?,크리켓
93,원래 이름이 `핑퐁`이었던 스포츠는?,탁구
94,대한민국의 현정화 선수는 어떤 스포츠의 금메달리스트일까요?,탁구
95,1970년대 초 미국과 중국의 수교를 튼 스포츠는?,탁구
96,안나 쿠르니코바는 무엇으로 유명한 사람인가?,테니스
97,마리아 샤라포바는 어느 스포츠 분야의 유명 선수인가?,테니스
98,다음 중 서커스 묘기에서 유래된 스포츠는?,트램펄린
99,"스쿼트, 벤치 프레스, 데드 리프트의 세 종목을 겨루는 시합은?",파워리프팅
100,다음 중 특수 고안된 낙하산을 멘 사람을 자동차나 모터보트에 연결해 떠오르게 하여공중비행을 즐길 수 있게 한 레저 스포츠는?,패러세일링
101,에페(Epee)`를 사용하는 스포츠는?,펜싱
102,다음 중 `큐`라는 막대기로 공을 쳐서 점수를 겨루는 스포츠는?,포켓볼
103,다음 중 말을 타고 스틱을 이용해 득점을 올리는 구기 스포츠는?,폴로
104,비엘만 스핀`은 어떤 스포츠 종목의 스핀 기술 중 하나일까요?,피겨스케이팅
105,3면이 벽으로 둘러싸인 경기장에서 작은 볼을 교대로 치며 겨루는 경기는?,하이알라이
106,"""Welcome home""이라는 슬로건을 내걸었던 아테네 올림픽의 개최년도는?",2004
107,농구에서 자유투가 주어지기 시작하는 팀 파울의 개수는?,5
108,농구에서 3점슛 라인까지의 거리는?,6.75
109,축구에서 페널티 지점까지의 거리는?,11
110,마라톤의 총 길이는?,42.195
111,NBA 선수인 스테판 커리가 연속 성공한 3점슛 경기 수는?,268
112,벨기에 안트베르펜에서 진행된 첫번째 올림픽 선서의 개최 년도는?,1920
113,한화 이글스의 마지막 우승 년도는(ㅋ)?,1999
114,"일반적으로 ""볼링""은 몇 개의 볼링핀을 놓고 하는 스포츠인가?",10
115,미식축구는 몇 명의 선수가 한 팀일까요?,11
116,럭비 경기에서 각 팀의 선수는 몇 명 이내로 구성될까요?,15
117,셔틀콕에는 몇 개의 깃털이 고정되어 있을까요?,16
118,골프 코스는 일반적으로 몇 개의 홀로 구성되어 있을까요?,18
119,올림픽 양궁에서 과녁의 가장 바깥쪽의 백색 고리 부분에 득점할 경우 몇 점을 획득하는가?,1
120,테니스 코트 중앙 그물의 높이는 무엇입니까?,91
121,10핀 볼링을 칠 때 사용하는 공에는 몇 개의 손가락 구멍이 있나요?,3
122,골프 홀의 사이즈는 얼마일까?,4.25
123,축구는 전후반 각 몇 분으로 경기를 치르는가?,45
124,"동계 올림픽, 하계 올림픽은 몇 년에 한 번 개최되는가?",4
125,프로 골프 코스의 홀(hole)의 최소 깊이는?,10.16
126,축구공 사이즈는 0호부터 몇 호까지 있을까요?,5
127,다트(dart)보드에 있는 가장 높은 점수는?,60
128,배구는 한 팀이 몇 명으로 구성되는가?,6
129,축구 경기는 일반적으로 전ㆍ후반 총 몇 분으로 치를까요?,90
130,"""악어"" 모양의 로고로 유명한 의류 브랜드를 만든 프랑스의 테니스 스타는?",르네라코스테
131,아시아인 최초로 푸스카스상을 수여받은 축구선수는?,모하메드파이즈
132,"미국의 복싱 선수 `조지 포먼`이 프로로 전향한 이후,그에게 맨 처음으로 KO 패를 안긴 인물은 누구였을까요?",무하마드알리
133,"""나비처럼 날아서 벌처럼 쏜다""라는 유명한 말을 남긴 사람은?",무하마드알리
134,유일하게 두 개의 다른 체급에서 올림픽과 세계선수권을 모두 우승한 선수는?,심권호
135,프로 복싱 사상 최다 KO승을 기록한 전설의 복서는?,아치무어
136,필라테스` 운동을 처음 고안한 사람은 누구일까요?,요제프필라테스
137,2012년 하계 올림픽 육상 100m 와 200m 결승전에서우사인 볼트 다음으로 2위에 오른 선수는 누구였습니까?,요한블레이크
138,"인간 탄환이라는 별명과 함께 남자 100m, 200m 세계 기록을 보유한자메이카 출신의 육상 단거리 선수는?",우사인볼트
139,월드컵 역사상 결승전에서 해트트릭을 기록한 유일한 선수는 누구인가?,제프허스트
140,2022 월드컵 대한민국:가나전에서 2골을 넣은 축구선수는 누구일까요?,조규성
141,자유형 100미터 경기에서 최초로 1분의 벽을 깬 수영선수는?,조니와이즈뮬러
142,올림픽 성화는 어느 나라에서 채화되어 개최지 올림픽 경기장으로 운반되는 것일까요?,그리스
143,1896년 제1회 올림픽이 개최된 곳은?,그리스
144,부부젤라는 어느 나라 축구 경기의 응원 도구로 유명한 악기일까요?,남아프리카공화국
145,크로스컨트리 스키와 스키점프를 함께 치르는 노르딕 복합은어느 나라에서 유래한 스포츠일까요?,노르웨이
146,실내종합경기장인 `매디슨 스퀘어 가든`이 위치한 곳은?,뉴욕
147,택견`은 어느 나라 고유의 전통 무예일까요?,대한민국
148,리그오브레전드라는 게임의 대회에서 가장 많이 우승한 팀의 국가는?,대한민국
149,올림픽 경기를 주최한 최초의 아시아 도시는 어디입니까?,도쿄
150,영국 축구 `명예의 전당`이 전시된 영국국립축구박물관이 위치한 영국의 도시는?,맨체스터
151,1972년 하계 올림픽은 어디에서 열렸습니까?,뮌헨
152,길거리 농구의 발상지로 알려진 나라는?,미국
153,치어리딩`은 어느 나라에서 시작된 응원문화일까요?,미국
154,농구는 어느 나라에서 처음 고안된 운동일까요?,미국
155,MLS(Major League Soccer)는 어느 나라의 축구 리그 인가?,미국
156,배구는 어느 나라에서 처음 만들어졌을까요?,미국
157,세계 최대의 축구 경기장으로 알려진 `마라카냥 경기장`은 어느 나라에 있을까요?,브라질
158,2016년 하계 올림픽은 어디에서 개최되었을까요?,브라질
159,"""골든 스테이트 워리어스""는 미국 어느 도시에 연고지를 둔 NBA 프로농구팀일까요?",샌프란시스코
160,1988년 하계 올림픽이 개최된 도시는?,서울
161,국제올림픽위원회(IOC)의 본부가 위치한 곳은?,스위스
162,국제 스키 연맹`은 다음 중 어느 국가에 본부를 두고 있는 단체일까요?,스위스
163,세계 최초의 봅슬레이 전용 트랙이 만들어진 곳은 어디인가?,스위스
164,국제농구연맹`은 어느 국가에서 창립된 단체일까요?,스위스
165,골프는 어느 나라에서 만들어졌는가?,스코틀랜드
166,마이클 조던 동상이 있는 도시는?,시카고
167,축구계의 살아있는 전설 `리오넬 메시`가 태어난 곳은?,아르헨티나
168,2022 카타르 월드컵의 우승국은?,아르헨티나
169,탁구는 어느 대륙에서 특히 인기가 많은 스포츠 종목일까요?,아시아
170,다트`는 어느 나라에서 유래한 게임일까요?,영국
171,테니스와 월핸드볼을 혼합한 운동인 `스쿼시`는 어느 나라에서 시작되었을까요?,영국
172,"""AS 로마""는 어느 나라의 프로축구클럽일까요?",이탈리아
173,유도가 처음 유래된 국가는?,일본
174,용 모양을 한 배로 하는 `드래곤 보트 경주`는 어느 나라의 전통 축제에 열리는 경기일까요?,중국
175,1900년에 개최되었던 제2회 올림픽의 개최지는?,파리
176,2018년 제21회 러시아 월드컵의 우승국은?,프랑스
177,세계 최초로 카 레이싱(자동차 경주)이 열렸던 국가는?,프랑스
