id,question,answer
47,분데스리가에서 최다 도움을 기록한 선수는 누구인가요?,뮐러
48,엘클라시코에서 가장 많은 골을 넣은 선수는?,메시
49,라리가에서 한 시즌 최다 득점을 기록한 선수는 누구인가요?,메시
50,프리미어리그에서 가장 많은 우승을 차지한 팀은?,맨체스터유나이티드
51,프리미어리그의 최초 우승 팀은?,맨체스터유나이티드
52,프리미어리그에서 가장 빠른 해트트릭을 기록한 선수는?,마네
53,리버풀이 속한 도시는?,리버풀
54,챔피언스리그에서 가장 많은 우승을 차지한 팀은?,레알마드리드
55,경기 중 선수가 상대편을 향해 고의적인 반칙을 하면 주어지는 것은 무엇인가요?,레드카드
56,경기 중 선수가 심판에게 욕설을 하면 주어지는 것은 무엇인가요?,레드카드
57,첼시의 전설적인 중원 플레이메이커는?,램파드
58,리그 1에서 최다 도움을 기록한 선수는 누구인가요?,디마리아
59,경기 중 선수가 부상당한 경우 어떻게 경기가 재개되나요?,드롭볼
60,세리에 A에서 한 시즌 최다 도움을 기록한 선수는 누구인가요?,델피에로
61,분데스리가에서 최다 클린시트를 기록한 골키퍼는 누구인가요?,노이어
62,프리킥은 직접 프리킥과 간접 프리킥으로 나눠지나요?,네
63,프리미어리그에서 가장 많은 도움을 기록한 선수는?,긱스
64,코너킥은 공이 어느 위치에서 나갔을 때 주어지나요?,골라인
65,골키퍼가 6초 이상 공을 손으로 잡고 있으면 주어지는 것은 무엇인가요?,간접프리킥
66,프랑스 리그 1의 최다 우승 팀은?,PSG
67,리버풀이 프리미어리그 첫 우승을 차지한 해는?,2020
68,첼시가 첫 챔피언스리그 우승을 차지한 해는?,2012
69,메시가 처음 발롱도르를 수상한 해는?,2009
70,리오넬 메시가 처음 챔피언스리그 우승을 차지한 해는?,2006
71,크리스티아누 호날두가 맨체스터 유나이티드에서 첫 골을 넣은 해는?,2003
72,"맨체스터 유나이티드가 트레블(리그, 컵, 챔피언스리그) 우승을 차지한 해는?",1999
73,프리미어리그의 첫 시즌은 몇 년도에 시작되었나요?,1992
74,축구 경기는 몇 분 동안 진행되나요?,90
75,연장전은 몇 분 동안 진행되나요?,30
76,축구 경기에서 한 팀의 선수 수는 몇 명인가요?,11
77,페널티킥을 차는 지점은 골대에서 몇 미터 떨어져 있나요?,11
78,오프사이드 위치는 상대팀의 골라인에서 몇 명 이상의 상대 선수보다 앞에 있을 때 성립하나요?,2
79,축구 경기에서 퇴장은 몇 번의 옐로 카드로 주어지나요?,2
